,index,name,page_image,title,page_link,cluster_name,cluster_proba
0,0,나이트런,https://shared-comic.pstatic.net/thumb/webtoon/64997/1/inst_thumbnail_20090421112426.jpg,예고편,https://comic.naver.com/webtoon/detail?titleId=64997&no=1&weekday=sat,17,0.97481865
1,1,나이트런,https://shared-comic.pstatic.net/thumb/webtoon/64997/2/inst_thumbnail_20090504173324.jpg,1화,https://comic.naver.com/webtoon/detail?titleId=64997&no=2&weekday=sat,17,0.9999999
2,2,나이트런,https://shared-comic.pstatic.net/thumb/webtoon/64997/3/inst_thumbnail_20090508190740.jpg,2화,https://comic.naver.com/webtoon/detail?titleId=64997&no=3&weekday=sat,0,0.75990355
3,3,나이트런,https://shared-comic.pstatic.net/thumb/webtoon/64997/4/inst_thumbnail_20090515111338.jpg,3화,https://comic.naver.com/webtoon/detail?titleId=64997&no=4&weekday=sat,6,0.9871243
4,4,나이트런,https://shared-comic.pstatic.net/thumb/webtoon/64997/5/inst_thumbnail_20090522173339.jpg,4화,https://comic.naver.com/webtoon/detail?titleId=64997&no=5&weekday=sat,6,0.95975894
5,5,나이트런,https://shared-comic.pstatic.net/thumb/webtoon/64997/6/inst_thumbnail_20090529173106.jpg,5화,https://comic.naver.com/webtoon/detail?titleId=64997&no=6&weekday=sat,4,0.879137
6,6,나이트런,https://shared-comic.pstatic.net/thumb/webtoon/64997/7/inst_thumbnail_20090605190211.jpg,6화,https://comic.naver.com/webtoon/detail?titleId=64997&no=7&weekday=sat,1,1.0
7,7,나이트런,https://shared-comic.pstatic.net/thumb/webtoon/64997/8/inst_thumbnail_20090612182030.jpg,7화,https://comic.naver.com/webtoon/detail?titleId=64997&no=8&weekday=sat,17,0.51653725
8,8,나이트런,https://shared-comic.pstatic.net/thumb/webtoon/64997/9/inst_thumbnail_20090619170353.jpg,8화,https://comic.naver.com/webtoon/detail?titleId=64997&no=9&weekday=sat,16,0.9999796
9,9,나이트런,https://shared-comic.pstatic.net/thumb/webtoon/64997/10/inst_thumbnail_20090626185244.jpg,9화,https://comic.naver.com/webtoon/detail?titleId=64997&no=10&weekday=sat,6,0.98893297
10,10,쿠베라,https://shared-comic.pstatic.net/thumb/webtoon/131385/1/inst_thumbnail_20100205175031.jpg,예고편,https://comic.naver.com/webtoon/detail?titleId=131385&no=1&weekday=thu,2,1.0
11,11,쿠베라,https://shared-comic.pstatic.net/thumb/webtoon/131385/2/inst_thumbnail_20100212155951.jpg,1화,https://comic.naver.com/webtoon/detail?titleId=131385&no=2&weekday=thu,1,0.99999976
12,12,쿠베라,https://shared-comic.pstatic.net/thumb/webtoon/131385/3/inst_thumbnail_20100221001942.jpg,2화,https://comic.naver.com/webtoon/detail?titleId=131385&no=3&weekday=thu,12,0.9995944
13,13,쿠베라,https://shared-comic.pstatic.net/thumb/webtoon/131385/4/inst_thumbnail_20100226191906.jpg,3화,https://comic.naver.com/webtoon/detail?titleId=131385&no=4&weekday=thu,0,0.999984
14,14,쿠베라,https://shared-comic.pstatic.net/thumb/webtoon/131385/5/inst_thumbnail_20100305182433.jpg,4화,https://comic.naver.com/webtoon/detail?titleId=131385&no=5&weekday=thu,1,0.91324925
15,15,쿠베라,https://shared-comic.pstatic.net/thumb/webtoon/131385/6/inst_thumbnail_20100312193857.jpg,5화,https://comic.naver.com/webtoon/detail?titleId=131385&no=6&weekday=thu,1,0.9994537
16,16,쿠베라,https://shared-comic.pstatic.net/thumb/webtoon/131385/7/inst_thumbnail_20100319172919.jpg,6화,https://comic.naver.com/webtoon/detail?titleId=131385&no=7&weekday=thu,2,0.6953025
